The Office, (2005), 9.0 based on 614_677 user ratings, https://www.imdb.com/title/tt0386676/, https://m.media-amazon.com/images/M/MV5BMDNkOTE4NDQtMTNmYi00MWE0LWE4ZTktYTc0NzhhNWIzNzJiXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UX45_CR0,0,45,67_AL_.jpg
Stranger Things, (2016), 8.7 based on 1_209_018 user ratings, https://www.imdb.com/title/tt4574334/, https://m.media-amazon.com/images/M/MV5BMDZkYmVhNjMtNWU4MC00MDQxLWE3MjYtZGMzZWI1ZjhlOWJmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY67_CR4,0,45,67_AL_.jpg
Shahmaran, (2023), 5.1 based on 4_170 user ratings, https://www.imdb.com/title/tt16913068/, https://m.media-amazon.com/images/M/MV5BMGY2MTM3MDMtNTQzYi00OGFjLTg2ZmItZjRhNzEyMDRkYzNiXkEyXkFqcGdeQXVyODc5Mjc4Nzg@._V1_UX45_CR0,0,45,67_AL_.jpg
Night Court, (1984), 7.7 based on 15_793 user ratings, https://www.imdb.com/title/tt0086770/, https://m.media-amazon.com/images/M/MV5BY2U3ZjJlMjgtZGYzNy00YzFlLTg4ODAtYWQxMTU1ZTc4YmYxXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_UX45_CR0,0,45,67_AL_.jpg
Daisy Jones & The Six, (2023), None, https://www.imdb.com/title/tt8749198/, https://m.media-amazon.com/images/M/MV5BNzJhNmViYTMtOTBiMS00NTY1LTlkMWMtMWQ4MzVhZTViMzVhXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_UX45_CR0,0,45,67_AL_.jpg
Succession, (2018), 8.8 based on 156_185 user ratings, https://www.imdb.com/title/tt7660850/, https://m.media-amazon.com/images/M/MV5BZDE0ODVlYjktNjJiMC00ODk4LWIwNTktMWRhZmZiOGFhYmUwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY67_CR4,0,45,67_AL_.jpg
Andor, (2022), 8.4 based on 117_617 user ratings, https://www.imdb.com/title/tt9253284/, https://m.media-amazon.com/images/M/MV5BNDgxNTIyZTMtMzYxNi00NmRjLWFiMTEtM2U4MTFmODkzNzM1XkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_UY67_CR0,0,45,67_AL_.jpg
The Sopranos, (1999), 9.2 based on 408_142 user ratings, https://www.imdb.com/title/tt0141842/, https://m.media-amazon.com/images/M/MV5BZGJjYzhjYTYtMDBjYy00OWU1LTg5OTYtNmYwOTZmZjE3ZDdhXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY67_CR1,0,45,67_AL_.jpg
Severance, (2022), 8.7 based on 134_453 user ratings, https://www.imdb.com/title/tt11280740/, https://m.media-amazon.com/images/M/MV5BMjkwZjcwMGQtNDAzOC00YjJiLThiYTgtNWU3ZjRiZmY2YzEzXkEyXkFqcGdeQXVyMTMzNDExODE5._V1_UX45_CR0,0,45,67_AL_.jpg
Grey's Anatomy, (2005), 7.6 based on 313_892 user ratings, https://www.imdb.com/title/tt0413573/, https://m.media-amazon.com/images/M/MV5BODA2Mjk0N2MtNGY0Mi00ZWFjLTkxODEtZDFjNDg4ZDliMGVmXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_UY67_CR0,0,45,67_AL_.jpg
New Amsterdam, (2018), 8.0 based on 41_345 user ratings, https://www.imdb.com/title/tt7817340/, https://m.media-amazon.com/images/M/MV5BNDEyZGJkZmUtYjk1My00MzNjLThmNDQtZThlYmIyZmFmMDIyXkEyXkFqcGdeQXVyMTUwMzM5ODkz._V1_UY67_CR0,0,45,67_AL_.jpg
Willow, (2022), 5.6 based on 27_387 user ratings, https://www.imdb.com/title/tt10278918/, https://m.media-amazon.com/images/M/MV5BNDRmNDliZTktZjA0Ny00ZjgxLTlmZTgtMWUxMzBiMDk1OTU2XkEyXkFqcGdeQXVyMTU5OTc2NTk@._V1_UY67_CR0,0,45,67_AL_.jpg
Vikings, (2013), 8.5 based on 540_360 user ratings, https://www.imdb.com/title/tt2306299/, https://m.media-amazon.com/images/M/MV5BODk4ZjU0NDUtYjdlOS00OTljLTgwZTUtYjkyZjk1NzExZGIzXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX45_CR0,0,45,67_AL_.jpg
Night Court, (2023), 5.8 based on 1_984 user ratings, https://www.imdb.com/title/tt13798316/, https://m.media-amazon.com/images/M/MV5BNjAzODI1MDAtMjQ2Ny00ZWJkLWIzMmItMTg3Mzg5Y2M4OTBkXkEyXkFqcGdeQXVyMTUwMzM5ODkz._V1_UY67_CR0,0,45,67_AL_.jpg
National Treasure: Edge of History, (2022), 5.3 based on 7_638 user ratings, https://www.imdb.com/title/tt12580982/, https://m.media-amazon.com/images/M/MV5BOWZlZDVmMWItZDcxNi00MGJmLTk0MzktOGZkNTNkMzU3OWQzXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_UY67_CR4,0,45,67_AL_.jpg
Extraordinary, (2023), 8.0 based on 3_532 user ratings, https://www.imdb.com/title/tt14531842/, https://m.media-amazon.com/images/M/MV5BMmEwYmZkOTMtNTYwNi00MmM2LWIxNmYtZjI4NjM5MGQzNDMxXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_UX45_CR0,0,45,67_AL_.jpg
